time_point,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002803770691797991,-0.000719829466802005,0.0011093908969510013,0.0006171685547420036,0.004418240845969021,0.00029558445959600166,-0.00022554374407102173,0.0009095307614649939,0.000642214500496216,0.0008792007908549893,0.0013954201903566138,0.00033015378775359816,0.0006914903320311971,0.0005643913994260036,0.00019816894623100878,0.0032789633754643083,0.00033489661513409763,0.00021389952035980042,0.001676230158973016,0.0017618824711310016,0.00026429858765299186,0.0015212515328068,0.000611372214300604,0.0005137308135200053,0.0009238101750136118,0.0028010364928720277,0.0010897686051411087,0.0005645127197825145,0.00016841344507220746,-0.0002038766235180206,-0.0003868800629620167,0.00017950255025270256,0.0002485054652922869,-0.000482477053359201,0.0005597756881163957,0.0002907429211840007,0.0007722333599900905,0.0009991148106732878,0.0001059551270293918,-0.0014873855046610013,0.0005293060043610881,0.00029350523296320374,0.0009732580491720044,-0.0004099174475372114,0.0007926558893711078,0.0013041042253044005,0.0006116481569461985,0.00023684002149000627,0.000723431583872905,-0.011412680807245112,0.0008889417961560064,0.0009571541661528987,0.0008485575724754002,0.001347306055009198,0.0007627940858448978,0.0022165285481448027,-0.00021402483185400945,-0.00019697156192319265,0.0012857498604460088,0.001162194111494902,0.0007007337314546974,9.287966592788632e-06,0.0007201924399719839,0.002986533349489312,0.004367606184942405,0.0014384368251192936,0.0010670176396241071,0.0014842429388300937,0.0003623706287883971,-0.0010097208097660931,0.0008064203147803983,0.0023366656225801974,0.0015345063746769055,0.000931305183503997,-0.0002037932972249884,-0.0009725790677709845,0.0013231554752662078,0.002196979364675694,0.00012199839788369637,0.0009670574852166103,0.00030566532497670884,-0.0002445818236831987,0.0024421390240236124,0.0029227875606537973,-9.227557517504925e-06,0.0008784484419276095,6.47223509559064e-05,9.999771581339911e-05,0.00019217644661390088,0.0010374998416220055,0.00023878820627280806,0.0012563762317089888,-0.00044408118611750924,-0.0006989308020375895,-0.00024388970090960527,0.002536693203301299
2,0.0063190594673169925,0.001119543450793986,0.003544373457482014,0.0014460063015109964,0.00763148459400502,0.0020925179578960007,0.0003992043450799926,0.002502248118981004,0.005491179901674997,0.0030905401943119998,0.0018128339706495883,0.0011163801939060025,-1.4930640199292688e-05,0.00037566388840699905,0.0002540658327174067,0.004696402756445214,0.0013254717046094905,0.00016727805585829703,0.0010797864404319957,0.002137719993191997,0.0022132146798419933,0.0021094171467927886,0.001088465100225297,0.0013027734146830033,0.0016585187161956005,0.002935246860148011,0.0021503224282941047,0.00042683532205450847,-0.00025689900108069597,0.00029112021832097823,-0.0006458390310199735,-0.000745748935754395,0.000727201091810098,-0.0005795309131137044,0.0009106522742407946,0.001580289459592002,0.0008714569142454914,0.0013472860112902774,-0.000293838255090606,-0.0011893539271349979,0.00028617191461340064,-0.00019158046763528835,-0.0003831845995037886,-0.0013953641183946097,0.0017076966428738183,0.0011305876677532994,0.0005940123383410961,0.0011449601330639908,0.001931662404537099,-0.01055459595394631,0.0025597734762890095,0.0008269821423270013,0.0004139512489559072,0.001046681210639902,0.001923487194361806,0.0037912782141818063,0.00018905598030199977,0.0006122733714729045,0.0021630360372,0.001282760789835885,0.0015066574604245958,0.00019663770027358862,0.0030907787919659813,0.002387788086761905,0.0036305513856190047,0.0008337544613649106,0.0017670953119693078,0.0015488904502644896,-3.4471225598409205e-05,-0.0005957471683901983,0.001713489773067095,0.0017296551818302142,0.004947262298461402,0.0011482351070049995,0.000979541211569998,-0.0011315970332008013,0.0022777263151765037,0.0019463596689737045,5.161052440290359e-05,0.0013073180336656137,7.317514455450203e-05,-0.0005896699976161018,0.0019999273549745067,0.0028451809827603897,0.0002369077639503836,0.00037151429940900094,9.113184088911652e-05,-0.0006155407661666001,0.00016995815527479086,0.0004073491685211983,0.0009465797936483028,0.0012296959871260088,-0.0007466272525793044,-0.000459365054921293,-0.0009341676629975038,0.002374354960838307
3,0.009827217599189017,0.004420955978617011,0.007704060730415005,0.005812605154208006,0.013457995737892012,0.007228356444867995,0.0041618948475949935,0.005561909828107003,0.006815144855833011,0.0040555610971760025,0.002746683518353596,0.0017890450387152007,0.0021538366132033,0.0023567440029914066,0.0010166378265802217,0.005002311896512207,0.003059583493840487,0.0014922396720892933,0.003685754826557003,0.005346071450802986,0.004507152603369008,0.003046280353632788,0.002626547105077301,0.0022813733373060058,0.005204108353165607,0.005743154697972014,0.0030738085373011037,0.0028157737952735212,0.0020232024937901077,0.0023916029003429873,0.0013666001366769986,0.0011098495362396044,0.0022516111287064905,-0.00038488232072671213,0.0025168627296739826,0.002557579205040003,0.0034765067488212037,0.003802834627630272,0.0006636842779269986,-0.00021103629820397318,0.0021305141621672796,0.002163602864753894,0.0022272804258235968,0.0012900899678330718,0.0033373507756088022,0.0023649472932757015,0.001834933958226495,0.002128838155473975,0.002459926762749004,-0.009904837857720214,0.002543474929995987,0.002180070928726907,0.0010189879321024081,0.0023614435814352935,0.003167793441797795,0.004970180690783796,0.0013439783222739948,0.0015085696632458206,0.003086229129160012,0.0020032044752078954,0.0027526232514191867,0.0015388331009142941,0.0028091746720279726,0.003428106579713902,0.0037937711356133136,0.0011217170222120043,0.0021025838081259046,0.0025892276411344922,0.0014327160124195937,0.00037224303428930183,0.0016475609831662075,0.001663885729845202,0.0049488368418074,0.0027742116765669955,0.0020994029861790137,0.00022165377001499842,0.0030431049728105036,0.0035756260469673867,0.0036654797918677096,0.002340184473924589,0.0014281100522282042,0.0006617360551233048,0.0019562508746547025,0.0020870331724296975,0.0012794003073632876,0.001803985582084,0.0005154572995716145,0.00043798421174309765,0.0016725090352665978,0.001399109076564195,0.0021496628633611153,0.002024528122305011,0.00043621276273929366,9.823005980819088e-06,-0.0008124336009334987,0.001884123948524205
4,0.010163250241061003,0.004050598864424992,0.00827588705967,0.0062825734786470105,0.015584641370154015,0.008854436596650986,0.004386002059563993,0.005966749839818999,0.009842978550561016,0.004644360727456998,0.0023712300913916046,0.002048720676768201,0.0021890224788026075,0.0015531985132068021,0.0010041938437597986,0.0048956114180802035,0.004531729530006481,0.0019127762984085944,0.004559479985255993,0.0054163019042030025,0.004323381635768994,0.003645425791236792,0.0023235171671402988,0.0021489443720949936,0.0051650634853156185,0.004366241924089007,0.0029683027847440813,0.003962880165838525,0.0035253982719203047,0.0032262417526139897,0.001327933539285009,0.0006789721518412062,0.00144362795940349,0.0001268105657314944,0.0016658680123069897,0.0018401261458149965,0.002811643993787194,0.0026369567803603,0.00016205948476528953,0.0005596890032679991,0.004052018994007284,0.0029476766423079115,0.002512315600399606,0.0008747763308570994,0.0025880995860747824,0.0012968078386867976,0.0010314882879393916,0.001780774348919989,0.004159082445045703,-0.00868339254543303,0.0031658826038439974,0.0021952159965719087,0.001630593489905005,0.0027029586219883966,0.004152171773801894,0.00500542889847079,0.0011994449564900062,0.0009533774580852,0.0038234624623040003,0.001230041370918894,0.003454695517520187,0.0017237356901797923,0.0027598076886409945,0.0034514142399561104,0.00594369531553228,0.0009665567120560048,0.0025168824717528987,0.0030249517495185008,0.001460076348228992,-0.00034316799112119045,0.002065625506732699,0.0012736497948521996,0.006733309688385397,0.003803542106617,0.001779147712494003,0.00030375710549598867,0.0029164900999339854,0.003919272025287385,0.004072566798037691,0.002562469706459597,0.0014043300051949092,-0.0005051098403048987,0.0015981654235416032,0.002227947470150801,0.0019055842150630942,0.0037065054417197985,0.00036567850921871703,-0.0002159786558770943,0.0012159664849449997,0.0015309612196997002,0.0026203444110590862,0.0008228945572510138,0.00033686954413009174,-0.0008160840259870822,-0.0011051540910202023,0.0019894922752632105
5,0.013432883911836002,0.007232187654965,0.01102520727756999,0.009873744551994995,0.020892271247675995,0.012612937677787997,0.007550724296331995,0.00784072304959299,0.010316008240898011,0.0075366671736380175,0.004094292706310607,0.0032961811271919883,0.004353249842911508,0.004282393432504097,0.0030117608249188993,0.006769816563576211,0.007424341231332482,0.00437292273605118,0.007897673298884994,0.008296467062774995,0.0071046639992349975,0.006648337326022796,0.0043624399834212985,0.0051431688244120005,0.00750497311185061,0.00697405871980801,0.0036958158707641048,0.006731535058732516,0.004800678947296286,0.005461403686398997,0.0036380696891540054,0.001175376181436108,0.002559436640792487,0.0015924935808731833,0.003029724314338983,0.002981370062380015,0.0048832243140062015,0.004699693349662304,0.0012648373113926942,0.0023906789799300054,0.006034274493898303,0.005747073576644904,0.004843537531398601,0.0028042503723291062,0.004463919142678796,0.003915206241467684,0.0031065389868777937,0.0042331720708069925,0.006608147937800513,-0.008934640725976009,0.004868242195744013,0.003015404676965927,0.0037879587956611976,0.0045621195135347875,0.004633472273886996,0.007825063285341813,0.0022945925881490137,0.0026461915533168012,0.0062855740980900104,0.002582410721087891,0.004972363070794489,0.002316783554013796,0.004373439307440982,0.006844856818478823,0.007872286843405296,0.0028253752575594093,0.0042745499018344985,0.005340051058180403,0.0028080272275257945,0.0014284957241140067,0.004638944312129703,0.002354962238279204,0.007688246382906397,0.004331500901098018,0.0027295774851599924,0.00023577234682400916,0.00482430944106399,0.005162747024259409,0.00643635854964969,0.005110081318652607,0.002134350344674213,0.00025407472180670465,0.002585824648660112,0.0026728293994541935,0.002454816737575999,0.00455160774713681,0.0009910492304176094,4.196514945660479e-05,0.00240054910669861,0.0029636674971108973,0.007265182088728117,0.0020308171790460183,0.0007879975934435984,0.0005079855420105084,0.00035681960012640124,0.002329300213808505
6,0.013901520875222007,0.007208214808601024,0.011496997728768998,0.009859197714652018,0.021201817680455023,0.012718352473439984,0.007162578402311978,0.007389335562227983,0.01177188577546201,0.006765266978539991,0.004146247802090594,0.003205354789926007,0.003105375568915908,0.005551963444969318,0.004565760657964185,0.006216567086517202,0.007443407632331492,0.004227022166455194,0.007250695759925985,0.0065692779210229785,0.005973216931721981,0.006417782134918809,0.003963131706273285,0.004120629413347995,0.00497094652957461,0.004889938172392,0.00392719447882911,0.005864762857111502,0.004454026296565314,0.005148325963697978,0.003256980733029019,0.0006265060390251986,0.0026253155988674864,0.0008160807431232958,0.002988443183208983,0.002529761062330993,0.0036375221048672024,0.0039162853152023,0.0011221508106163958,0.00319086520797901,0.00656254175970529,0.0049122383931029245,0.004667367342042594,0.0017419005144491129,0.0042315545042218156,0.003644742522512706,0.0027050160463990003,0.003318578239654993,0.005087944447249512,-0.006260622886189018,0.0046124888797900165,0.0028480001261759202,0.001978386049952402,0.0036380484538745955,0.004541233789027002,0.005998287836206803,0.0013659767474930168,0.0011847516088822063,0.005394118951935992,0.0019007334976138962,0.004920697101586491,0.0028535052498768892,0.002919482889811989,0.00516354100509861,0.006358224423875319,0.0013382037754016002,0.004214877708492604,0.004820695339451189,0.001922365171115395,-6.577774571230044e-05,0.0030919782433746074,0.0017166048953111829,0.00551446710942638,0.005635458241937008,0.002492432071014017,0.001290209729026992,0.004305016356396005,0.004896250430359406,0.004738191886807713,0.0034469700022305982,0.001742025296920302,-0.0012085846026013009,0.0009088122541414112,0.0022133859411559015,0.002967063276787099,0.004782804941057789,0.001297321797344514,0.0010815073459345959,0.0023216147991163977,0.0022116224057726896,0.01148838527638811,0.0011721559410679955,0.00011433999493869196,-0.0014173514764552891,-0.001641809171629302,0.0020212100782085046
7,0.016766467437907995,0.011720768884293006,0.013941868671587018,0.014376428968763996,0.02727411001013101,0.01739371388016099,0.010222453345443971,0.009545387810372993,0.014516428102845008,0.008612227184417995,0.0061320152830206115,0.005027596944129992,0.0039545581837838045,0.007957998429629312,0.006030391185018205,0.008146020244481217,0.011408817406407493,0.0065689106255561736,0.010706013470990997,0.010211820795697005,0.009664197407544983,0.008795148053233809,0.005833587278495311,0.006977077267526999,0.007273754121994602,0.00936784053202401,0.005755734504068091,0.00963723938411852,0.008082416843363305,0.00820053852533699,0.006034442497470996,0.002290844483561885,0.004609497296835505,0.0025014600831101963,0.005537451803893978,0.004438117346144993,0.004850714219878191,0.006457770190989295,0.002859968586440109,0.005276431862936026,0.009824445994014303,0.00817763374856692,0.006850603862699617,0.0035979926234250975,0.006040774807138799,0.005896396214331703,0.004736251977827802,0.005965419566096003,0.007790830820234504,-0.00829552691028701,0.005677181033235015,0.0037370286726848972,0.002798988288421192,0.0051637695794918,0.007108806158984793,0.008730992871892801,0.003722583628963008,0.0033706396297898122,0.007844459786764998,0.0034051954655619082,0.005582381612567508,0.0028535052498768892,0.005028598469956985,0.00654740448352481,0.0067297025109422925,0.0029118804210646054,0.006507503555553684,0.006001616237956392,0.004175239719420604,0.0019516501537211045,0.005191237693252693,0.0024605749138212063,0.006518869682239414,0.0070747718155259876,0.004524718923824,0.0014579829010319956,0.005969154466008014,0.0068736837221813896,0.005851071957242715,0.005725555394509599,0.0033549961031743014,0.000899021327917901,0.0023770796500043045,0.0035420533743176913,0.003413256276894691,0.005761381204493821,0.001896995277562416,0.0009527264123928014,0.0032744582399519967,0.0034196919762260053,0.008196544583643092,0.001915008320912015,0.001370942944629694,0.00011013378504670657,-0.0005061497992604053,0.0027559717544096
8,0.01704059676996901,0.011214543239691996,0.013981247464072019,0.014232732249468999,0.02624422355389204,0.016759182845265994,0.011252811035166996,0.010080577378616978,0.014848600568918,0.008831600375680995,0.005428199173604598,0.005078440572790999,0.004624277978453509,0.0089627515205713,0.007750044790551219,0.008120729486192219,0.011620527810856485,0.0068939026366051925,0.010528956411781976,0.010967830261560021,0.008188846790314994,0.008866750049487795,0.005419224358165317,0.006966982579113004,0.006852467300334605,0.007876636954459004,0.005714535305779089,0.009880172428415504,0.008420357579023291,0.007433747718709985,0.005506832088267979,0.0027311541333069067,0.0046567753349655155,0.002623252566477191,0.0049544306652849895,0.004613698835969016,0.00468348300404918,0.005602626757375287,0.00271727971539909,0.007119289494763023,0.009835086958744285,0.00717125386459691,0.005665381670745609,0.003862370314952082,0.005702845850958788,0.0057257740530176765,0.003851642972994798,0.006078273796034997,0.006912303648262508,-0.007530804414642003,0.006280765722575993,0.004137633571810934,0.004304497301387225,0.0062894685757868,0.007467476753569791,0.007520683966520794,0.002848722268129003,0.002990991192622791,0.008925173255182009,0.00432993554212191,0.00606766545705148,0.002981814541453992,0.004904559347449003,0.007467033992992797,0.007837125908796289,0.004135218034959309,0.006723499345165709,0.006446533082146405,0.0031971096835728963,0.0015646409442980902,0.006641732910632692,0.003364560977323211,0.006622124870798413,0.007522353793254999,0.004415406985121981,0.002818813534947992,0.0064331908893539985,0.007450948236959409,0.006069867302507692,0.0058248730582416,0.0028847916607691038,0.00048437714922430763,0.003247600095107786,0.0040358047553486764,0.003900770794596789,0.005784507303930805,0.002270000189044205,0.0021516572471510093,0.0037977733632872934,0.004263164926928992,0.007349097150030112,0.002213763764689,0.0007682151459346975,-0.0003023365027336883,0.00019871183176739526,0.003215893995302005
9,0.020051938557227006,0.014041018500258004,0.01747442292375799,0.019322559584313004,0.009275638385959031,0.02194973468679899,0.014983999182983987,0.01203063383032002,0.016716072417231012,0.011579940215328988,0.008244505301573599,0.006479240992379995,0.004608146810850505,0.010305169393709318,0.0074941884847782025,0.009439919651800216,0.015061890533522485,0.009836182571792196,0.013556865867850987,0.015243175854685015,0.011666623898230977,0.01175977594849778,0.007824448112890306,0.008598990149255997,0.007905655175742585,0.010101987727566,0.007760193681189076,0.013754510639057513,0.010450358646108299,0.01094850118419298,0.007376151269367998,0.0032100539754289226,0.006535245573184495,0.004073794541528189,0.0063202451668509935,0.0055069409549519804,0.005664722872016192,0.006901841684786303,0.004324583220066097,0.009195943633568002,0.013135159718298303,0.010760257059517914,0.008308858260579602,0.00536232715970808,0.007733317805123804,0.008962669382341693,0.005752294357022805,0.008648842082220998,0.00811948785340949,-0.007313337650214011,0.007143348740018998,0.005512143967919894,0.006607861708697205,0.007576114185608787,0.009285830771209785,0.009966502088855772,0.0047000645443039946,0.0039918838815877905,0.009510262589037977,0.005520658155587901,0.0062791008076955035,0.0040362163764531,0.005937539445596968,0.00842057306547081,0.009172614756800299,0.004752891908901297,0.00921257867343972,0.007697458451877401,0.004772020243624497,0.002429436967420401,0.006956900402876692,0.004053102951790191,0.00654099372751539,0.008013421299422993,0.005836493808571971,0.003457367043819992,0.009038672703538989,0.009058674964800395,0.007745663663975708,0.008208430003656592,0.003841305469795206,0.0018593723701205156,0.003023421460389905,0.004719945976185691,0.0037688862582388877,0.00758634204125079,0.002839749850990808,0.002317251150904698,0.005168668537958596,0.0048994625432020045,0.0063584565665461,0.00386902341400501,0.001836193307815509,0.0005224785709500163,-0.00010704019306730095,0.0037733755290961096
